Unnamed: 0,price,mileage,year,previous_owners,doors,seats,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,body_type_Convertible,body_type_Coupe,body_type_Estate,body_type_Hatchback,body_type_MPV,body_type_Minibus,body_type_Pickup,body_type_SUV,body_type_Saloon,gearbox_Manual
116,1395,99911,2003,4.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
117,2490,46000,2007,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
118,2895,120000,2014,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
119,3289,79000,2012,2.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
120,3799,114000,2014,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
121,2945,66000,2008,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
122,2499,65000,2009,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
123,798,140599,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
124,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
126,10000,46923,2017,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
127,2799,99061,2011,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
128,995,184000,2009,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
129,2950,139000,2004,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
130,1389,120000,1999,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
131,990,85000,2007,2.0,5.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
132,1850,93000,2009,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
133,1990,51116,2008,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
134,2695,69000,2005,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
135,1895,111998,2007,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
136,1995,93101,2008,6.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
137,2950,105000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
138,10000,46923,2017,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
140,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
141,1395,45000,2010,2.0,5.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
142,2495,74325,2007,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
143,1498,102329,2007,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
144,2495,97000,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
145,1949,113000,2011,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
146,2700,84000,2014,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
147,1990,43000,2007,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
148,1400,92000,2006,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
149,1500,100600,2010,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
150,2995,100000,2012,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
